author,code,date,likes,comments,followers,er_pct,is_high_er,card_count,post_age_days,caption_length,first_line_length,hashtag_count,mention_count,first_line_has_arrow,first_line_has_question,first_line_has_emoji,newline_count,style,topic,tone_구어체_어미,tone_1인칭_화자,tone_단정형_도발,tone_지시·CTA,tone_권위_인용,tone_이야기_훅,emoji_density,first_line,bio
shesblanc,CnvEKlzPEmA,20230123,1455,0,100753,1.44,0,9,1200,2510,6,21,18,0,0,0,86,광고·이벤트,운동·바디,0,1,0,0,0,0,1.53,#광고,"지금은 좋아하는 것만 하고 사는 중😍
✉️ lyj_0313@naver.com"
healthy.hye__,DAHepNWzzIK,20240920,3103,0,247382,1.25,0,2,594,261,31,0,0,0,0,0,6,기타,다이어트·체중,0,0,0,0,0,0,0.76,살이 진짜 많이 빠지긴 했다,"Train for the life you want to live / Seoul 🇰🇷
📩 healthy.hye93@gmail.com
TRIATHL"
u.jae_,CggI4WnJygB,20220727,1424,0,113481,1.25,0,4,1380,2075,41,8,3,0,0,0,49,광고·이벤트,다이어트·체중,0,1,0,1,0,0,0.67,#광고 #마켓공지 @vitalbeautie_official,"♥ 노베브 @nobev_official
~5/8 딘시 톤업선크림 역대 최저가 마켓"
s_1min,CyU6XTxroA9,20231013,1968,0,158555,1.24,0,8,937,1989,49,0,0,0,0,0,38,개인_기록·일상,운동·바디,0,0,0,0,0,0,0.68,오늘두 공복 운동 성.공.적 ( •̀ ω •́ )✧ !!,"workout • diet • self care • skincare
⠀⠀⠀⠀⠀⠀⠀⠀⠀
꾸준함이 습관을 만들고, 습관이 모여 건강한 나를 만든다!"
stretchjoy,CldUlkbh0uh,20221127,1777,0,144344,1.23,0,6,1257,1243,15,3,2,0,0,0,32,매체·뉴스,운동·바디,0,0,0,1,0,0,0.0,@어깨친구소환,"스트레칭전도사
근골격계를 살리는 스트레칭, 스트레칭도 운동이다 🤸🏻‍♀️
다리찢기 클래스 | 해피엔딩 93기 6월 신청 👇🏻
@stretchjo"
monster_travel__,DF4l4RQzxmc,20250210,1212,0,98926,1.23,0,3,451,633,38,0,0,0,1,1,13,개인_기록·일상,영양제·식품,0,0,0,0,0,0,2.31,"영양제, 언제 먹어야 효과적일까?🧐","ᴡᴏʀʟᴅ ᴛʀᴀᴠᴇʟ & ʟɪꜰᴇ ꜱᴛʏʟᴇ
-
📌제보는 monster_travel__
💌광고/협업 문의 ᴅᴍ"
1club.kr,DXitX_WieQB,20260425,3546,0,298776,1.19,0,8,12,2303,51,4,2,0,0,1,21,정보성_팩트체크,영양제·식품,0,1,0,1,0,1,0.25,😎 김앤장 변호사가 영양제 시장에 뛰어든 이유,"Luxury Lifestyle Magazine
Inquiries: info@1percentclub.kr"
wikitree,CnLpGoihnch,20230109,3202,0,275778,1.16,0,8,1214,128,41,8,0,0,0,0,3,정보성_팩트체크,기타,0,0,0,0,0,0,0.0,"김가영 ""'더 글로리' 과몰입러로서...""",
mz_.life,DPDY4PYARMZ,20250926,1938,0,170377,1.14,0,5,223,131,35,4,1,0,1,0,4,기타,의학·건강,0,0,0,0,0,0,1.45,@@영양제 뭐 챙겨먹고 있었어??,"MZ들이 뭐하고 사는지 궁금해❓
엠지력 만땅 에디터가 낋여오는 트렌드😎🔥
-
🔻비지니스 문의는 링크 Click!"
medical_newsroom,DRI21zrkpxZ,20251117,1867,0,174313,1.07,0,3,171,1130,58,5,0,0,0,0,12,정보성_팩트체크,의학·건강,0,0,0,0,0,0,0.16,"주 4회, 20분씩 사우나를 하면 수명이 늘어날 수 있다","요즘 뜨는 건강·의학·최신 트렌드
매일 업데이트되는 건강해지는 이야기
⠀
📩 Contact : medical_newsroom@trinitylab"
wikitree,CzvqS8JrjPv,20231117,2825,0,275778,1.02,0,9,902,123,34,9,0,0,0,0,3,기타,의학·건강,0,0,0,0,0,0,0.0,국내 의료 기술이 대단하네요..!!,
wikitree,C6s6ER7INlV,20240508,2613,0,275778,0.95,0,7,729,108,29,6,1,0,0,0,3,기타,의학·건강,0,0,0,0,0,0,0.0,취재진 앞에 선 20대 A씨.. ,
sunyeoya,CdX0MscJu36,20220510,1272,0,136137,0.93,0,4,1458,1144,28,2,1,0,0,0,23,개인_기록·일상,다이어트·체중,0,0,0,0,0,0,1.04,두부유부초밥 처음 먹어봄,"* 자기계발러 10년차
* 정보 나누며 글 쓰고 영상 만드는 크리에이터
* 18개월 딸래미 가정보육 일상
📚 [드림노트] [밀가루단식] 저자"
chlove_u,DLrgL5upi1P,20250704,1189,0,127189,0.93,0,11,307,309,122,2,0,0,0,0,9,매체·뉴스,기타,0,0,0,0,0,0,0.0,"아주 오래 전에 만들어졌지만 그 시대의 진지한 무언가였을 유물들 속에서, 우리는 자꾸 귀여움을 발견합니다.","문화재청의 새 이름, 국가유산청 공식 인스타그램입니다.
#국가유산 #문화유산 #자연유산 #무형유산 #Korea"
stretchjoy,CkvEcwsBC7s,20221109,1334,0,144344,0.92,0,4,1275,1460,20,0,3,0,0,0,37,개인_기록·일상,운동·바디,0,0,0,1,0,1,0.0,@절실한친구소환,"스트레칭전도사
근골격계를 살리는 스트레칭, 스트레칭도 운동이다 🤸🏻‍♀️
다리찢기 클래스 | 해피엔딩 93기 6월 신청 👇🏻
@stretchjo"
lady_good_tip,C62Wo3WNaeK,20240512,1171,0,128555,0.91,0,8,725,327,38,22,2,0,0,0,5,정보성_가이드,운동·바디,1,0,0,0,0,0,0.58,얇은 팔뚝을 만드는 생활습관,"💖필요한 꿀팁만 알려드릴게요💖
.
광고 및 협업문의✉️
cm@cmmkt.co.kr"
leehyewon2002,CTUojLnntrx,20210902,1617,0,200608,0.81,0,2,1708,148,67,3,1,0,0,0,4,정보성_팩트체크,아기·육아,0,0,0,0,0,0,1.2,대학교때 미술관을 하루에도 몇번씩 다녔던 기억이 나네요...,바로가기⬇️ @rehyewon_lifestylecompany.
stretchjoy,CkdMiE-B1ep,20221102,1154,0,144344,0.8,0,5,1282,1770,22,3,1,0,0,0,47,정보성_가이드,운동·바디,0,0,0,1,0,1,0.0,@애플힙원하는친구,"스트레칭전도사
근골격계를 살리는 스트레칭, 스트레칭도 운동이다 🤸🏻‍♀️
다리찢기 클래스 | 해피엔딩 93기 6월 신청 👇🏻
@stretchjo"
joongangilbo,DLHeCBHoHQb,20250620,1064,0,142318,0.75,0,4,321,1405,140,4,0,0,0,0,19,매체·뉴스,의학·건강,0,0,1,0,0,0,0.28,지난해 서울에서 발생한 강남역 의대생 살인 사건 피해자의 유족이 20일 사체손괴 혐의로 가해자 최모씨(26),"우리 마음에 가까운 스토리 😉🖊📷 
기사 전문 보러가기👇"
wikitree,Crnvaf2Js_J,20230429,2052,0,275778,0.74,0,7,1104,221,37,15,0,0,0,0,3,유머·짤,다이어트·체중,0,0,0,0,0,0,0.0,뚜렷해진 이목구비…. 대박이네요!!!,
hinew.me,C4F-rBZJdru,20240304,1191,0,165392,0.72,0,6,794,903,37,14,1,0,0,1,15,정보성_가이드,다이어트·체중,0,1,0,0,0,0,1.1,#광고 식단 중🤍 @grainon_official ,"168cm 50kg / 같이 예뻐지자(ღˇᴗˇ)｡o♡
📮newh0@naver.com"
un_ni_tip,DB53xOBpnAj,20241103,2916,0,463051,0.63,0,6,550,140,48,8,1,0,0,0,3,정보성_가이드,다이어트·체중,0,0,0,0,0,0,0.0,체중 감량한 사람들이 무조건 지키는 것!✅,"언니가 알려주는 유용한 꿀팁 A-Z까지💕
트렌디한 여자들의 대표 커뮤니티
.
✉️Contact mail
ad@feedkorea.kr"
wikitree,C3152LxLDHz,20240227,1728,0,275778,0.63,0,7,800,161,62,10,0,0,0,0,3,기타,의학·건강,0,0,0,0,0,0,0.0,전공의들에 대한 정부의 압박 수위가 거세지고 있습니다.,
ebsstory,CLnvev_MVJd,20210223,1801,0,290872,0.62,0,2,1899,62,62,0,0,0,0,0,0,기타,의학·건강,0,0,0,0,0,0,0.0,혈관 절반이 막히기 전에는 증상도 없다는 동맥경화,"EBS 공식 인스타그램🧡
프로필 링크를 눌러봐요👇"
wikitree,C6sBbnuLBZy,20240508,1702,0,275778,0.62,0,7,729,146,59,7,1,0,0,0,3,기타,의학·건강,0,0,0,0,0,0,0.0,여자친구가 이별하자고 해 범행했다고 진술한 상태.. ,
h1003141592,C_O0mmaSFKM,20240829,4344,0,713191,0.61,0,17,616,2070,45,0,0,0,0,0,25,기타,운동·바디,0,1,0,0,0,0,2.23,다이어트가 지칠 때 마인드 + 새로운 도전❤️,"📍초등교사 출신, -14kg 감량🥺,서울대학교 석사
📍여리여리탄탄하게! 36만 유튜버
📍(오프라인) 초밀착 PT(온라인) 라인온 PT
📍운동만 "
kyung118,DOkE0L0kl9l,20250914,1209,0,212948,0.57,0,5,235,193,11,11,0,0,0,0,9,개인_기록·일상,기타,0,0,0,0,0,0,0.97,#홈브런치,
hi1004hi,DTrPv4_kzqe,20260119,1114,0,198693,0.56,0,8,108,1038,29,5,1,0,0,0,31,정보성_팩트체크,기타,0,1,0,0,0,0,0.55,#협찬 @naturalplus_official,"🎀 샤탕's Daily: 뷰티부터 데일리템까지 기록하기
🏷️ 삶의 질을 높이는 검증된 꿀템만 골라드려요
💌 CONTACT : DM & s1004"
un_ni_tip,DHvqf_cpZcw,20250328,2563,0,463051,0.55,0,3,405,136,36,7,1,0,0,1,3,기타,의학·건강,0,0,0,0,0,0,1.43,10대 때 결정하는 내 건강 상태🚨,"언니가 알려주는 유용한 꿀팁 A-Z까지💕
트렌디한 여자들의 대표 커뮤니티
.
✉️Contact mail
ad@feedkorea.kr"
run___cook,DBVqqfSBtMG,20241020,1241,0,267590,0.46,0,7,564,4049,12,11,0,0,0,0,135,광고·이벤트,영양제·식품,0,1,1,1,0,0,0.49,#상세설명,"•배달음식과 소주로 망가졌던 삼남매 아빠
•스무디와 런닝으로 찾은 회복 루틴
•매일 뛰며 15kg뺀 남편 (런)
•채식요리 전공한 영양사 아내 "
wikitree,C3g2EHEN78m,20240219,1191,0,275778,0.43,0,10,808,109,39,7,0,0,0,0,3,기타,의학·건강,0,0,0,0,0,0,0.0,전국 확산될 것으로 예측됩니다..,
wikitree,Cyfn6CMv_fc,20231017,1169,0,275778,0.42,0,10,933,171,53,13,0,0,0,0,3,기타,의학·건강,0,0,0,0,0,0,0.0,"글 제목부터... ""의사형들 증원 맛 좀 보라구!!""",
un_ni_tip,DHlQdfaCGh7,20250324,1569,0,463051,0.34,0,3,409,139,42,8,1,0,0,1,3,정보성_가이드,증상·질환,0,0,0,0,0,0,1.43,혈당스파이크 걱정 없는 과일 식단🍎,"언니가 알려주는 유용한 꿀팁 A-Z까지💕
트렌디한 여자들의 대표 커뮤니티
.
✉️Contact mail
ad@feedkorea.kr"
ppt_hunter,Cwerb-LyWDy,20230828,1195,0,388011,0.31,0,7,983,304,56,26,0,0,1,0,2,정보성_가이드,기타,0,0,0,0,0,0,0.0,진짜 100에 98은 첫번째 화살표만쓰는부분인거 ㅇㅈ?,⬇️ 사냥꾼 비즈니스 문의 💕
singlesmagazine,CxE2kAHBPEf,20230912,6117,0,2348682,0.26,0,10,968,711,11,1,0,0,0,0,14,정보성_가이드,영양제·식품,0,0,0,0,0,0,0.54,#제작지원,for every SINGLE day
un_ni_tip,DPc3l6egWho,20251006,1180,0,463051,0.25,0,10,213,117,41,6,1,0,0,1,3,정보성_가이드,의학·건강,0,0,0,0,0,0,1.67,각 전공별 의사가 절대 안하는 것!🩺,"언니가 알려주는 유용한 꿀팁 A-Z까지💕
트렌디한 여자들의 대표 커뮤니티
.
✉️Contact mail
ad@feedkorea.kr"
un_ni_tip,DOni-RXDMhX,20250915,1113,0,463051,0.24,0,3,234,115,26,7,1,0,0,1,3,정보성_가이드,의학·건강,0,0,0,0,0,0,1.64,2030 여성 필수 영양제💊,"언니가 알려주는 유용한 꿀팁 A-Z까지💕
트렌디한 여자들의 대표 커뮤니티
.
✉️Contact mail
ad@feedkorea.kr"
eyesmag,DVQQAu7iTZS,20260227,2829,0,1300774,0.22,0,3,69,526,6,1,1,0,0,0,1,광고·이벤트,다이어트·체중,0,0,0,0,0,0,1.48,#광고,패션&라이프스타일 웹 매거진
un_ni_tip,DI5Q4W5MtjK,20250426,1027,0,463051,0.22,0,3,376,158,42,8,1,0,0,1,3,정보성_가이드,증상·질환,0,0,0,0,0,0,1.25,혈당스파이크 바로 폭발하는 음식 50😨,"언니가 알려주는 유용한 꿀팁 A-Z까지💕
트렌디한 여자들의 대표 커뮤니티
.
✉️Contact mail
ad@feedkorea.kr"
cosmopolitankorea,DDYc-t2PoVn,20241210,5060,0,2387619,0.21,0,2,513,604,13,13,1,0,0,0,9,기타,영양제·식품,0,0,0,0,0,0,0.84,#제작비지원,"코스모폴리탄 5월호 커버, 아이유&이연 이 조합 기다렸어요🩷
코스모폴리탄 6월호 글로벌 커버는 무려무려 올리비아 로드리고👑"
